12:43:28 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 137.97.90.46, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 ) => {inserted_id = 11148}
12:43:28 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
12:43:28 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-05-26 12:43:28) on conditions username = dodo001
12:43:28 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2020-05-26 12:43:28) on conditions username = dodo001 AND company_id = 6
12:43:30 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = 47c109a87c7bae2fef38b4a3f3f39f4d
13:45:19 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 117.222.164.226, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 ) => {inserted_id = 11149}
13:45:19 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
13:45:19 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-05-26 13:45:19) on conditions username = dodo001
13:45:19 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2020-05-26 13:45:19) on conditions username = dodo001 AND company_id = 6
13:45:20 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = edbc41673f88daa0025c3d1a5bfc64d5
13:47:39 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-22, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18017}
13:47:39 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-23, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18018}
13:47:39 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-24, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18019}
13:47:39 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-25, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18020}
13:47:39 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-26, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18021}
13:47:39 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-27, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18022}
13:47:39 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-28, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18023}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-29, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18024}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-30, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18025}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-01-31, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18026}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-01, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18027}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-02, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18028}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-03, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18029}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-04, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18030}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-05, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18031}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-06, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18032}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-07, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18033}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-08, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18034}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-09, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18035}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-10, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18036}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-11, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18037}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-12, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18038}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-13, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18039}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-14, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18040}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-15, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18041}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-16, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18042}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-17, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18043}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-18, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18044}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-19, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18045}
