07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-03, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( cher005, anst007, 2013-10-03, 8, 16, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( chyi001, anst007, 2013-10-03, 16, 21, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-03, 21, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-04, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-04, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-04, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( chyi001, anst007, 2013-10-04, 8, 19, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anfr005, anst007, 2013-10-04, 19, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anfr005, anst007, 2013-10-05, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anfr005, anst007, 2013-10-05, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anfr005, anst007, 2013-10-05, 5, 12, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-05, 12, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-06, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-06, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-06, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anfr005, anst007, 2013-10-06, 8, 19, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-06, 19, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-07, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-07, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-07, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( cher005, anst007, 2013-10-07, 8, 21, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-07, 21, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-08, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-08, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-08, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( cher005, anst007, 2013-10-08, 8, 21, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-08, 21, 24, 0, 1, , jata001, , 1 )
