05:31:57 gine001 Gilad Nevo1 INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 171.5.25.88, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0 ) => {inserted_id = 7990}
05:31:57 gine001 Gilad Nevo1 DELETE data from tables `temp_session` on conditions username LIKE gine001
05:31:57 gine001 Gilad Nevo1 UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-01-02 05:31:57) on conditions username = gine001
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-27, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2542}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-28, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2543}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-29, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2544}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-30, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2545}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-31, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2546}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-03, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2547}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-04, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2548}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-05, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2549}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-06, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2550}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-07, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2551}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-10, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2552}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-02-11, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2553}
